param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:25:06	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0026385224274411	0	1	36.6927604675293	6.22309197651663	
14.02.2018_1:25:07	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0026385224274411	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:25:09	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0105263157894730	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:25:10	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0157894736842109	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:25:12	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0184696569920853	0	1	36.6927604675293	6.22309197651663	
14.02.2018_1:25:13	526.573974609375	2.56233032226563	1.83953033268102	2.50489236790607	0.0211640211640212	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:25:15	526.573974609375	2.56233032226563	1.85909980430528	2.50489236790607	0.0263157894736840	0	1	37.0841484069824	6.22309197651663	
14.02.2018_1:25:16	526.573974609375	2.56233032226563	1.85909980430528	2.50489236790607	0.0263157894736840	0	1	37.0841484069824	6.22309197651663	
14.02.2018_1:25:17	526.573974609375	2.56233032226563	1.85909980430528	2.50489236790607	0.0290237467018473	0	1	36.9863014221191	6.22309197651663	
14.02.2018_1:25:19	526.573974609375	2.56233032226563	1.85909980430528	2.4853228962818		0.0317460317460326	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:20	526.573974609375	2.56233032226563	1.85909980430528	2.50489236790607	0.0370370370370377	0	1	37.0841484069824	6.22309197651663	
14.02.2018_1:25:22	526.678039550781	2.56233032226563	1.85909980430528	2.50489236790607	0.0370370370370377	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:23	526.678039550781	2.56233032226563	1.83953033268102	2.4853228962818		0.0397877984084878	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:25:24	526.678039550781	2.56233032226563	1.85909980430528	2.50489236790607	0.0448548812664915	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:26	526.678039550781	2.56233032226563	1.83953033268102	2.4853228962818		0.0503978779840853	0	1	37.1819953918457	6.1839530332681		
14.02.2018_1:25:27	526.678039550781	2.56233032226563	1.85909980430528	2.50489236790607	0.0473684210526328	0	1	36.9863014221191	6.22309197651663	
14.02.2018_1:25:28	526.678039550781	2.56233032226563	1.85909980430528	2.50489236790607	0.0529100529100539	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:30	526.781921386719	2.56233032226563	1.83953033268102	2.4853228962818		0.0529100529100539	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:25:31	526.781921386719	2.56233032226563	1.85909980430528	2.4853228962818		0.0554089709762535	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:25:33	526.781921386719	2.56233032226563	1.83953033268102	2.4853228962818		0.0557029177718834	0	1	37.3776893615723	6.20352250489237	
